technology_id,chemistry_category,chemistry_specific,energy_density_wh_kg_2024,energy_density_wh_kg_2030_projected,volumetric_energy_density_wh_l_2024,cost_per_kwh_2024,cost_per_kwh_2030_projected,cycle_life_typical,cycle_life_advanced,charge_rate_c,discharge_rate_c,operating_temp_min_c,operating_temp_max_c,safety_rating,manufacturing_scalability,trl_level,commercialization_timeline,leading_companies,primary_applications,key_advantages,key_limitations,patent_activity_score,research_intensity
TECH-001,Li-ion,NMC 811,250-280,300-320,650-750,120,80,1000-2000,3000-4000,1C,3C,-20,55,Medium,High,9,Commercial (2024),LG Energy Solution; SK On; Samsung SDI; BASF TODA,EV batteries; Grid storage,High energy density; Good power density,Cobalt content; Thermal stability concerns; Cost,9.5,High
TECH-002,Li-ion,NMC 622,220-240,260-280,600-680,110,75,1500-2500,4000-5000,1C,2C,-20,55,Medium-High,High,9,Commercial (2024),LG Energy Solution; SK On; Samsung SDI,EV batteries; Grid storage,Balanced performance; Better thermal stability than 811,Lower energy density than 811,8.2,Medium
TECH-003,Li-ion,NMC 532,200-220,230-250,550-620,105,70,2000-3000,5000-6000,1C,2C,-20,55,High,High,9,Commercial (2024),A123 Systems; Various Asian manufacturers,Power tools; Industrial,Excellent cycle life; Good safety,Lower energy density,6.5,Low
TECH-004,Li-ion,LFP (Lithium Iron Phosphate),160-180,200-220,450-520,85,55,3000-5000,8000-12000,1C,3C,-20,60,Very High,Very High,9,Commercial (2024),Gotion High-Tech; A123 Systems; Tesla; Our Next Energy,Grid storage; EV batteries; Buses,Excellent safety; Long cycle life; Low cost; Cobalt-free,Lower energy density; Poor cold weather performance,8.8,High
TECH-005,Li-ion,NCA (Nickel Cobalt Aluminum),260-280,290-310,680-750,115,85,800-1500,2000-3000,1C,3C,-20,55,Medium,High,9,Commercial (2024),Panasonic Energy; Tesla,EV batteries (Tesla vehicles),Very high energy density; Good power,Cobalt content; Thermal management challenges; Limited cycle life,7.8,Medium
TECH-006,Li-ion,LMFP (Lithium Manganese Iron Phosphate),180-200,220-240,500-580,90,60,2500-4000,6000-8000,1.5C,3C,-10,60,Very High,High,8,Early Commercial (2025-2026),Contemporary Amperex Technology; Gotion High-Tech,EV batteries; Energy storage,Better energy density than LFP; Maintains safety; Cobalt-free,Still developing; Manufacturing scaling needed,9.2,Very High
TECH-007,Li-ion - Silicon Anode,Silicon-Graphite Composite,280-320,350-400,700-800,140,95,800-1500,2000-3000,0.5C,2C,-20,55,Medium-High,Medium,8,Early Commercial (2024-2025),Sila Nanotechnologies; Enovix; Enevate,EV batteries; Consumer electronics,20-40% energy density increase; Drop-in compatible,Swelling challenges; Cycle life degradation; Cost,9.7,Very High
TECH-008,Li-ion - Silicon Anode,3D Silicon Architecture,350-450,450-500,850-950,180,120,500-1000,1500-2500,0.3C,1C,-10,45,Medium,Low-Medium,7,Pilot Production (2024-2026),Enovix; Amprius,Aviation; Premium EV; Consumer electronics,Extremely high energy density; Novel architecture,Manufacturing complexity; High cost; Scaling challenges,8.5,Very High
TECH-009,Li-ion - Silicon Anode,Silicon-Dominant Anode,400-500,500-600,900-1100,200,130,300-800,1000-2000,0.5C,1C,0,45,Medium,Low,7,Development (2025-2027),Amprius; Enevate,Aviation; Specialty applications,Ultra-high energy density; Fast charging potential (Enevate),Severe swelling; Cycle life challenges; Very high cost,9.0,Very High
TECH-010,Solid-State,Oxide Electrolyte - Ceramic,350-400,450-500,900-1000,250,150,1000-2000,3000-5000,0.3C,1C,0,60,Very High,Low,6,Development (2026-2028),QuantumScape,EV batteries,Excellent safety; High energy density; Fast charging potential,Brittle interfaces; Manufacturing challenges; High cost,9.8,Very High
TECH-011,Solid-State,Sulfide Electrolyte,320-380,420-480,850-950,220,130,800-1500,2500-4000,0.5C,1C,-10,55,High,Medium,7,Development (2025-2027),Solid Power; Factorial Energy (Solstice),EV batteries,Good ionic conductivity; Better processability than oxide,Air sensitivity; Hydrogen sulfide risk; Interface stability,9.6,Very High
TECH-012,Solid-State,Polymer Electrolyte,250-300,350-400,650-750,200,120,500-1200,2000-3000,0.3C,0.5C,20,80,Very High,Medium-High,6,Development (2027-2030),Ionic Materials (defunct); Factorial Energy (FEST),EV batteries; Consumer electronics,Flexible; Easier manufacturing; Good safety,Low ionic conductivity; High temperature needed; Lower performance,7.2,High
TECH-013,Solid-State,Composite/Hybrid Electrolyte,300-350,400-450,800-900,230,140,600-1500,2000-3500,0.4C,0.8C,0,60,Very High,Medium,7,Development (2026-2028),Microvast; Multiple research groups,EV batteries,Balanced properties; Better than single-phase approaches,Complexity; Interface management; Scaling,8.8,Very High
TECH-014,Lithium-Metal,Liquid Electrolyte Li-Metal,350-420,450-550,900-1050,280,160,200-500,800-1500,0.3C,1C,-10,45,Low-Medium,Low,6,Development (2025-2028),SES AI; Cuberg (acquired by Northvolt),Aviation; EV batteries,Very high energy density; Existing manufacturing leverage,Dendrite formation; Safety concerns; Short cycle life,9.3,Very High
TECH-015,Lithium-Metal,Solid-State Li-Metal (All combined),400-500,550-650,1000-1200,300,170,500-1000,1500-3000,0.3C,1C,0,60,High,Very Low,5,Development (2027-2030),QuantumScape; Solid Power; Factorial Energy; EnergyX (SoLiS),EV batteries; Aviation,Ultimate energy density; Superior safety (solid-state),Manufacturing at scale extremely challenging; Very high cost,10.0,Very High
TECH-016,Sodium-ion,Prussian Blue Cathode,140-160,170-190,400-450,60,40,3000-5000,6000-8000,1C,3C,-30,60,Very High,High,8,Commercial (2024),Natron Energy; CATL; Faradion,Data center UPS; Grid storage; Low-cost EV,Low cost; Abundant materials; Excellent safety; Wide temp range,Low energy density; Limited adoption,8.5,High
TECH-017,Sodium-ion,Layered Oxide Cathode,150-180,190-220,420-500,65,45,2000-4000,5000-7000,1C,2C,-20,55,Very High,High,8,Early Commercial (2024-2025),Contemporary Amperex Technology; BYD; Northvolt,Stationary storage; Budget EV,Better energy density than Prussian blue; No lithium needed,Still lower than Li-ion; Supply chain developing,8.8,High
TECH-018,Flow Battery,Vanadium Redox (VRFB),20-35,25-40,25-40,300,200,10000-20000,>20000,0.05C,0.05C,-5,40,Very High,Medium,9,Commercial (2024),Invinity Energy; Sumitomo Electric; Rongke Power,Long-duration grid storage (4-12 hours),Unlimited cycles; Long duration; Decoupled energy/power,Low energy density; Vanadium supply/cost; Large footprint,7.5,Medium
TECH-019,Flow Battery,Zinc-Bromine,60-85,75-100,60-85,180,120,2000-5000,8000-10000,0.2C,0.2C,5,45,High,Medium-High,8,Commercial (2024),Eos Energy; Primus Power; Redflow,Medium-duration grid storage (4-8 hours),Higher energy density than VRFB; Lower cost potential,Complexity; Bromine handling; Dendrite management,8.0,High
TECH-020,Flow Battery,Iron Flow,15-25,20-30,20-30,150,100,20000+,>25000,0.05C,0.05C,0,40,Very High,Medium,8,Commercial (2024-2025),ESS Inc; Form Energy (iron-air variant),Long-duration storage (6-12 hours),Extremely low cost; Earth-abundant; Safe; Very long life,Very low energy density; Large footprint,8.2,High
TECH-021,Flow Battery,Zinc-Iron (Hybrid),30-50,40-60,35-55,160,110,3000-8000,>10000,0.1C,0.1C,10,35,Very High,Medium,7,Early Commercial (2025-2026),Eos Energy (zinc variants),Medium-duration storage,Abundant materials; Good safety; Lower cost,Developing technology; Limited track record,7.8,Medium-High
TECH-022,Metal-Air,Iron-Air (Multi-day),150-200,200-250,Not Applicable,20,15,Not Standard - Calendar life focus,N/A,0.01C,0.01C,5,35,Very High,Medium,7,Early Commercial (2026-2028),Form Energy,Ultra-long duration (100+ hours),Extremely low cost; 100-hour duration; Earth-abundant,Very low power density; Irreversible in practice; Novel paradigm,9.0,Very High
TECH-023,Metal-Air,Zinc-Air (Rechargeable),300-400,350-450,N/A,100,70,50-200,500-1000,0.05C,0.1C,10,40,High,Low,6,Development (2026-2029),Multiple research groups; Bettergy,Specialty storage; Remote applications,High theoretical energy density; Low material cost,Poor rechargeability; Dendrites; Short cycle life,7.0,High
TECH-024,Advanced Anode,Lithium Titanate (LTO),70-90,80-100,150-200,180,150,10000-20000,>25000,5C,10C,-30,60,Very High,High,9,Commercial (2024),Toshiba; Altairnano,Fast charging applications; Extreme environments,Extremely long cycle life; Very fast charging; Wide temp,Very low energy density; Very high cost,6.0,Low
TECH-025,Emerging,Aluminum-ion,200-300,300-400,N/A,Not Commercial,80,1000-5000,N/A,1C,3C,10,50,High,Low,4,Research (2030+),Multiple universities; startups,Potential future stationary storage,Abundant materials; High theoretical capacity; Fast charging,Development stage; Electrolyte challenges; Voltage limitations,6.5,High
TECH-026,Emerging,Lithium-Sulfur,350-500,500-600,N/A,Not Commercial,90,200-500,1000-2000,0.2C,0.5C,-20,60,Medium,Very Low,5,Research (2028+),Oxis Energy (defunct); Multiple universities,Aviation; Specialty high-energy applications,Very high theoretical energy density; Low cost potential,Polysulfide shuttle; Poor cycle life; Volume expansion,7.8,Very High
TECH-027,Hybrid,Dual-Chemistry Systems,250-350,300-400,N/A,160,110,2000-4000,5000-8000,0.5C,2C,-20,55,High,Low,7,Early Development (2025-2027),Our Next Energy (Gemini),EV range extension; Multi-use applications,Optimized for range and cost; Flexible operation,Complexity; Weight; Integration challenges,7.5,Medium-High
